Mod:Item:MetaData, Localized Name
Magneticraft:sifter_control, Sifter Control
Magneticraft:mb_controls, Multiblock Controls
Magneticraft:block_salt, Salt Block
Magneticraft:block_sulfur, Sulfur Block
Magneticraft:zinc_ore, Zinc Ore
Magneticraft:crushing_table, Crushing Table
Magneticraft:tar, Tar
Magneticraft:blocksteam, Steam
Magneticraft:blockoil, Crude Oil
Magneticraft:blockheavyoil, Heavy Oil
Magneticraft:blocklightoil, Light Oil
Magneticraft:blocknaturalgas, Natural Gas
Magneticraft:blockhotcrude, Hot Crude
miscutils:blockBlockSelenium, Block of Selenium
miscutils:blockFrameGtSelenium, Selenium Frame Box
miscutils:blockBlockStrontium, Block of Strontium
miscutils:blockFrameGtStrontium, Strontium Frame Box
miscutils:blockBlockZirconium, Block of Zirconium
miscutils:blockFrameGtZirconium, Zirconium Frame Box
miscutils:blockBlockRuthenium, Block of Ruthenium
miscutils:blockFrameGtRuthenium, Ruthenium Frame Box
miscutils:blockBlockIodine, Block of Iodine
miscutils:blockFrameGtIodine, Iodine Frame Box
miscutils:blockBlockHafnium, Block of Hafnium
miscutils:blockFrameGtHafnium, Hafnium Frame Box
miscutils:blockBlockDysprosium, Block of Dysprosium
miscutils:blockFrameGtDysprosium, Dysprosium Frame Box
miscutils:blockBlockTellurium, Block of Tellurium
miscutils:blockFrameGtTellurium, Tellurium Frame Box
miscutils:blockBlockRhodium, Block of Rhodium
miscutils:blockFrameGtRhodium, Rhodium Frame Box
miscutils:blockBlockRhenium, Block of Rhenium
miscutils:blockFrameGtRhenium, Rhenium Frame Box
miscutils:blockBlockThallium, Block of Thallium
miscutils:blockFrameGtThallium, Thallium Frame Box
miscutils:blockBlockTechnetium, Block of Technetium
miscutils:blockBlockPolonium, Block of Polonium
miscutils:blockBlockAstatine, Block of Astatine
miscutils:blockBlockFrancium, Block of Francium
miscutils:blockBlockRadium, Block of Radium
miscutils:blockBlockPromethium, Block of Promethium
miscutils:blockBlockActinium, Block of Actinium
miscutils:blockBlockProtactinium, Block of Protactinium
miscutils:blockBlockNeptunium, Block of Neptunium
miscutils:blockBlockCurium, Block of Curium
miscutils:blockBlockBerkelium, Block of Berkelium
miscutils:blockBlockCalifornium, Block of Californium
miscutils:blockBlockEinsteinium, Block of Einsteinium
miscutils:blockBlockFermium, Block of Fermium
miscutils:blockBlockLithium7, Block of Lithium 7
miscutils:blockBlockThorium232, Block of Thorium 232
miscutils:blockBlockUranium232, Block of Uranium 232
miscutils:blockBlockUranium233, Block of Uranium 233
miscutils:blockBlockPlutonium238, Block of Plutonium 238
miscutils:blockBlockPlutonium239, Block of Plutonium-239
miscutils:blockBlockStrontium90, Block of Strontium 90
miscutils:blockBlockPolonium210, Block of Polonium 210
miscutils:blockBlockAmericium241, Block of Americium 241
miscutils:blockBlockAdvancedNitinol, Block of Advanced Nitinol
miscutils:blockBlockAstralTitanium, Block of Astral Titanium
miscutils:blockFrameGtAstralTitanium, Astral Titanium Frame Box
miscutils:blockBlockCelestialTungsten, Block of Celestial Tungsten
miscutils:blockFrameGtCelestialTungsten, Celestial Tungsten Frame Box
miscutils:blockBlockHypogen, Block of Hypogen
miscutils:blockFrameGtHypogen, Hypogen Frame Box
miscutils:blockBlockChromaticGlass, Block of Chromatic Glass
miscutils:blockFrameGtChromaticGlass, Chromatic Glass Frame Box
miscutils:blockBlockBlackMetal, Block of Black Metal
miscutils:blockFrameGtBlackMetal, Black Metal Frame Box
miscutils:blockBlockWhiteMetal, Block of White Metal
miscutils:blockFrameGtWhiteMetal, White Metal Frame Box
miscutils:blockBlockAncientGranite, Block of Ancient Granite
miscutils:blockBlockRunite, Block of Runite
miscutils:blockBlockDragonblood, Block of Dragonblood
miscutils:blockBlockSiliconCarbide, Block of Silicon Carbide
miscutils:blockFrameGtSiliconCarbide, Silicon Carbide Frame Box
miscutils:blockBlockZirconiumCarbide, Block of Zirconium Carbide
miscutils:blockFrameGtZirconiumCarbide, Zirconium Carbide Frame Box
miscutils:blockBlockTantalumCarbide, Block of Tantalum Carbide
miscutils:blockFrameGtTantalumCarbide, Tantalum Carbide Frame Box
miscutils:blockBlockNiobiumCarbide, Block of Niobium Carbide
miscutils:blockFrameGtNiobiumCarbide, Niobium Carbide Frame Box
miscutils:blockBlockTungstenTitaniumCarbide, Block of Tungsten Titanium Carbide
miscutils:blockFrameGtTungstenTitaniumCarbide, Tungsten Titanium Carbide Frame Box
miscutils:blockBlockBerylliumFluoride, Block of Beryllium Fluoride
miscutils:blockBlockLithiumFluoride, Block of Lithium Fluoride
miscutils:blockBlockThoriumTetrafluoride, Block of Thorium Tetrafluoride
miscutils:blockBlockThoriumHexafluoride, Block of Thorium Hexafluoride
miscutils:blockBlockUraniumTetrafluoride, Block of Uranium Tetrafluoride
miscutils:blockBlockUraniumHexafluoride, Block of Uranium Hexafluoride
miscutils:blockBlockZirconiumTetrafluoride, Block of Zirconium Tetrafluoride
miscutils:blockBlockNeptuniumHexafluoride, Block of Neptunium Hexafluoride
miscutils:blockBlockTechnetiumHexafluoride, Block of Technetium Hexafluoride
miscutils:blockBlockSeleniumHexafluoride, Block of Selenium Hexafluoride
miscutils:blockBlockLiFBeF2ZrF4U235, Block of LiFBeF2ZrF4U235
miscutils:blockBlockLiFBeF2ZrF4UF4, Block of LiFBeF2ZrF4UF4
miscutils:blockBlockLiFBeF2ThF4UF4, Block of LiFBeF2ThF4UF4
miscutils:blockBlockEnergyCrystal, Block of Energy Crystal
miscutils:blockFrameGtEnergyCrystal, Energy Crystal Frame Box
miscutils:blockBlockBloodSteel, Block of Blood Steel
miscutils:blockFrameGtBloodSteel, Blood Steel Frame Box
miscutils:blockBlockZeron100, Block of Zeron-100
miscutils:blockFrameGtZeron100, Zeron-100 Frame Box
miscutils:blockBlockTumbaga, Block of Tumbaga
miscutils:blockFrameGtTumbaga, Tumbaga Frame Box
miscutils:blockBlockPotin, Block of Potin
miscutils:blockFrameGtPotin, Potin Frame Box
miscutils:blockBlockStaballoy, Block of Staballoy
miscutils:blockFrameGtStaballoy, Staballoy Frame Box
miscutils:blockBlockTantalloy60, Block of Tantalloy-60
miscutils:blockFrameGtTantalloy60, Tantalloy-60 Frame Box
miscutils:blockBlockTantalloy61, Block of Tantalloy-61
miscutils:blockFrameGtTantalloy61, Tantalloy-61 Frame Box
miscutils:blockBlockInconel625, Block of Inconel-625
miscutils:blockFrameGtInconel625, Inconel-625 Frame Box
miscutils:blockBlockInconel690, Block of Inconel-690
miscutils:blockFrameGtInconel690, Inconel-690 Frame Box
miscutils:blockBlockInconel792, Block of Inconel-792
miscutils:blockFrameGtInconel792, Inconel-792 Frame Box
miscutils:blockBlockEglinSteel, Block of Eglin Steel
miscutils:blockFrameGtEglinSteel, Eglin Steel Frame Box
miscutils:blockBlockMaragingSteel250, Block of Maraging Steel 250
miscutils:blockFrameGtMaragingSteel250, Maraging Steel 250 Frame Box
miscutils:blockBlockMaragingSteel300, Block of Maraging Steel 300
miscutils:blockFrameGtMaragingSteel300, Maraging Steel 300 Frame Box
miscutils:blockBlockMaragingSteel350, Block of Maraging Steel 350
miscutils:blockFrameGtMaragingSteel350, Maraging Steel 350 Frame Box
miscutils:blockBlockWatertightSteel, Block of Watertight Steel
miscutils:blockFrameGtWatertightSteel, Watertight Steel Frame Box
miscutils:blockBlockNitinol60, Block of Nitinol 60
miscutils:blockFrameGtNitinol60, Nitinol 60 Frame Box
miscutils:blockBlockStellite, Block of Stellite
miscutils:blockFrameGtStellite, Stellite Frame Box
miscutils:blockBlockTalonite, Block of Talonite
miscutils:blockFrameGtTalonite, Talonite Frame Box
miscutils:blockBlockHastelloyW, Block of Hastelloy-W
miscutils:blockFrameGtHastelloyW, Hastelloy-W Frame Box
miscutils:blockBlockHastelloyX, Block of Hastelloy-X
miscutils:blockFrameGtHastelloyX, Hastelloy-X Frame Box
miscutils:blockBlockHastelloyC276, Block of Hastelloy-C276
miscutils:blockFrameGtHastelloyC276, Hastelloy-C276 Frame Box
miscutils:blockBlockHastelloyN, Block of Hastelloy-N
miscutils:blockFrameGtHastelloyN, Hastelloy-N Frame Box
miscutils:blockBlockIncoloy020, Block of Incoloy-020
miscutils:blockFrameGtIncoloy020, Incoloy-020 Frame Box
miscutils:blockBlockIncoloyDS, Block of Incoloy-DS
miscutils:blockFrameGtIncoloyDS, Incoloy-DS Frame Box
miscutils:blockBlockIncoloyMA956, Block of Incoloy-MA956
miscutils:blockFrameGtIncoloyMA956, Incoloy-MA956 Frame Box
miscutils:blockBlockGrisium, Block of Grisium
miscutils:blockFrameGtGrisium, Grisium Frame Box
miscutils:blockBlockTrinium, Block of Trinium
miscutils:blockBlockRefinedTrinium, Block of Refined Trinium
miscutils:blockBlockTriniumTitaniumAlloy, Block of Trinium Titanium Alloy
miscutils:blockFrameGtTriniumTitaniumAlloy, Trinium Titanium Alloy Frame Box
miscutils:blockBlockTriniumNaquadahAlloy, Block of Trinium Naquadah Alloy
miscutils:blockBlockTriniumNaquadahCarbonite, Block of Trinium Naquadah Carbonite
miscutils:blockFrameGtTriniumNaquadahCarbonite, Trinium Naquadah Carbonite Frame Box
miscutils:blockBlockArceusAlloy2B, Block of Arceus Alloy 2B
miscutils:blockFrameGtArceusAlloy2B, Arceus Alloy 2B Frame Box
miscutils:blockBlockLafiumCompound, Block of Lafium Compound
miscutils:blockFrameGtLafiumCompound, Lafium Compound Frame Box
miscutils:blockBlockCinobiteA243, Block of Cinobite A243
miscutils:blockFrameGtCinobiteA243, Cinobite A243 Frame Box
miscutils:blockBlockPikyonium64B, Block of Pikyonium 64B
miscutils:blockFrameGtPikyonium64B, Pikyonium 64B Frame Box
miscutils:blockBlockAbyssalAlloy, Block of Abyssal Alloy
miscutils:blockFrameGtAbyssalAlloy, Abyssal Alloy Frame Box
miscutils:blockBlockTitansteel, Block of Titansteel
miscutils:blockFrameGtTitansteel, Titansteel Frame Box
miscutils:blockBlockArcanite, Block of Arcanite
miscutils:blockFrameGtArcanite, Arcanite Frame Box
miscutils:blockBlockOctiron, Block of Octiron
miscutils:blockFrameGtOctiron, Octiron Frame Box
miscutils:blockBlockBabbitAlloy, Block of Babbit Alloy
miscutils:blockBlockBlackTitanium, Block of Black Titanium
miscutils:blockBlockRhugnor, tile.Block of Rhugnor.name
miscutils:blockBlockQuantum, Block of Quantum
miscutils:blockFrameGtQuantum, Quantum Frame Box
miscutils:oreFluorite, Fluorite Ore
miscutils:oreKoboldite, Koboldite Ore
miscutils:oreCrocoite, Crocoite Ore
miscutils:oreGeikielite, Geikielite Ore
miscutils:oreNichromite, Nichromite Ore
miscutils:oreTitanite, Titanite Ore
miscutils:oreZimbabweite, Zimbabweite Ore
miscutils:oreZirconolite, Zirconolite Ore
miscutils:oreGadoliniteCe, Gadolinite (Ce) Ore
miscutils:oreGadoliniteY, Gadolinite (Y) Ore
miscutils:oreLepersonnite, Lepersonnite Ore
miscutils:oreSamarskiteY, Samarskite (Y) Ore
miscutils:oreSamarskiteYb, Samarskite (Yb) Ore
miscutils:oreXenotime, Xenotime Ore
miscutils:oreYttriaite, Yttriaite Ore
miscutils:oreYttrialite, Yttrialite Ore
miscutils:oreYttrocerite, Yttrocerite Ore
miscutils:oreZircon, Zircon Ore
miscutils:orePolycrase, Polycrase Ore
miscutils:oreZircophyllite, Zircophyllite Ore
miscutils:oreZirkelite, Zirkelite Ore
miscutils:oreLanthaniteLa, Lanthanite (La) Ore
miscutils:oreLanthaniteCe, Lanthanite (Ce) Ore
miscutils:oreLanthaniteNd, Lanthanite (Nd) Ore
miscutils:oreAgarditeY, Agardite (Y) Ore
miscutils:oreAgarditeCd, Agardite (Cd) Ore
miscutils:oreAgarditeLa, Agardite (La) Ore
miscutils:oreAgarditeNd, Agardite (Nd) Ore
miscutils:oreHibonite, Hibonite Ore
miscutils:oreCerite, Cerite Ore
miscutils:oreFluorcaphite, Fluorcaphite Ore
miscutils:oreFlorencite, Florencite Ore
miscutils:oreCryolite, Cryolite Ore
miscutils:oreLautarite, Lautarite Ore
miscutils:oreLafossaite, Lafossaite Ore
miscutils:oreDemicheleiteBr, Demicheleite (Br) Ore
miscutils:oreComancheite, Comancheite Ore
miscutils:orePerroudite, Perroudite Ore
miscutils:oreHoneaite, Honeaite Ore
miscutils:oreAlburnite, Alburnite Ore
miscutils:oreMiessiite, Miessiite Ore
miscutils:oreKashinite, Kashinite Ore
miscutils:oreIrarsite, Irarsite Ore
miscutils:oreBariteRd, Barite (Rd) Ore
miscutils:oreRadioactiveMineralMix, Strange Ore
miscutils:oreTrinium, Trinium Ore
miscutils:oreAncientGranite, tile.OreAncientGranite.name
miscutils:oreRunite, tile.OreRunite.name
miscutils:blockBlockMeatRaw, Block of Raw Meat
miscutils:blockBlockBakelite, Block of Bakelite
miscutils:blockBlockNylon, Block of Nylon
miscutils:blockBlockTeflon, Block of Teflon
miscutils:blockMFEffect, Special
miscutils:miscutils_fluidBlockSludge, Sludge
miscutils:blockWorkbenchGT, Workbench
miscutils:blockWorkbenchGTAdvanced, Advanced Workbench
miscutils:blockHeliumGenerator, Helium Generator
miscutils:blockFirePit, Fire Pit
miscutils:blockFishTrap, Fish Catcher
miscutils:blockInfiniteFluidTank, Infinite Fluid Tank
miscutils:blockMiningExplosives, Mining Explosives
miscutils:blockHellFire, Hellish Fire
miscutils:blockProjectBench, Project Table
miscutils:blockTradeBench, Trade Bench
miscutils:blockModularity, Modularity Bench
miscutils:blockBlackGate, Wither Cage
miscutils:blockTankXpConverter, Experience Converter
miscutils:blockCompressedObsidian:0, Compressed Obsidian (9)
miscutils:blockCompressedObsidian:1, Double Compressed Obsidian (81)
miscutils:blockCompressedObsidian:2, Triple Compressed Obsidian (729)
miscutils:blockCompressedObsidian:3, Quadruple Compressed Obsidian (6561)
miscutils:blockCompressedObsidian:4, Quintuple Compressed Obsidian (59049)
miscutils:blockCompressedObsidian:5, Inverted Obsidian
miscutils:blockNet, Net
miscutils:blockMiningPipeFake, Strengthened Mining Pipe
miscutils:blockMiningHeadFake, Bedrock Drill
miscutils:blockCircuitProgrammer, tile.blockCircuitProgrammer.name
miscutils:blockDecayablesChest, tile.blockDecayablesChest.name
miscutils:tile.playerDoorWood, Wooden Auto-Door
miscutils:tile.playerDoorIron, Iron Auto-Door
miscutils:tile.playerDoorGlass, Glass Auto-Door
miscutils:tile.playerDoorIce, Ice Auto-Door
miscutils:tile.playerDoorCactus, Cactus Auto-Door
miscutils:blockSuperJukebox, tile.blockSuperJukebox.name
miscutils:blockPooCollector:0, Agricultural Sewer
miscutils:blockPooCollector:8, Biocomposite Collector
miscutils:blockGenericRedstone.detector:0, tile.blockGenericRedstone.detector.0.name
miscutils:blockGenericRedstone.test:0, tile.blockGenericRedstone.test.0.name
miscutils:FluidPyrotheum, Blazing Pyrotheum
miscutils:FluidCryotheum, Gelid Cryotheum
miscutils:FluidEnder, Resonant Ender
miscutils:blockRainforestOakLog, Rainforest Oak
miscutils:blockRainforestOakLeaves, Oak Leaves
miscutils:blockRainforestOakSapling, Rainforest Oak Sapling
Australia:dimensionAustraliaPortalBlock, tile.dimensionAustraliaPortalBlock.name
Australia:blockAustraliaPortalFrame, tile.blockAustraliaPortalFrame.name
Australia:blockAustralianTopSoil, tile.blockAustralianSand.name
Australia:blockAustralianSand, tile.blockAustralianTopSoil.name
ToxicEverglades:fluidSludge:0, Stagnant Waste Water
ToxicEverglades:dimensionDarkWorld_portal, A Glimpse of the Future
ToxicEverglades:blockDarkWorldGround, Unstable Earth
ToxicEverglades:blockDarkWorldGround2, Polluted Soil
ToxicEverglades:blockDarkWorldPortalFrame, Containment Frame
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
Mantle:mantleBook:0, Mantle:item.mantle.manual.beginner.name
Mantle:mantleBook:1, Mantle:item.mantle.manual.toolstation.name
Mantle:mantleBook:2, Mantle:item.mantle.manual.smeltery.name
Mantle:mantleBook:3, Mantle:item.mantle.manual.diary.name
IC2:itemHarz, ic2.itemHarz.name
IC2:itemRubber, ic2.itemRubber.name
IC2:itemFluidCell, ic2.itemFluidCell.name
IC2:itemupgradekit:0, ic2.itemMFSUupgradekit
IC2:itemRecipePart:0, ic2.itemPartCoil
IC2:itemRecipePart:1, ic2.itemPartEleMotor
IC2:itemRecipePart:2, ic2.itempowerunit
IC2:itemRecipePart:3, ic2.itempowerunitsmall
IC2:itemRecipePart:4, ic2.itemrawcrystalmemory
IC2:itemRecipePart:5, ic2.itemheatconductor
IC2:itemRecipePart:6, ic2.itemcopperboiler
IC2:itemRecipePart:7, ic2.itemwoodrotorblade
IC2:itemRecipePart:8, ic2.itemironrotorblade
IC2:itemRecipePart:9, ic2.itemcarbonrotorblade
IC2:itemRecipePart:10, ic2.itemsteelrotorblade
IC2:itemRecipePart:11, ic2.itemironshaft
IC2:itemRecipePart:12, ic2.itemsteelshaft
IC2:itemCasing:0, ic2.itemCasingCopper
IC2:itemCasing:1, ic2.itemCasingTin
IC2:itemCasing:2, ic2.itemCasingBronze
IC2:itemCasing:3, ic2.itemCasingGold
IC2:itemCasing:4, ic2.itemCasingIron
IC2:itemCasing:5, ic2.itemCasingAdvIron
IC2:itemCasing:6, ic2.itemCasingLead
IC2:itemCrushedOre:0, ic2.itemCrushedIronOre
IC2:itemCrushedOre:1, ic2.itemCrushedCopperOre
IC2:itemCrushedOre:2, ic2.itemCrushedGoldOre
IC2:itemCrushedOre:3, ic2.itemCrushedTinOre
IC2:itemCrushedOre:4, ic2.itemCrushedUranOre
IC2:itemCrushedOre:5, ic2.itemCrushedSilverOre
IC2:itemCrushedOre:6, ic2.itemCrushedLeadOre
IC2:itemPurifiedCrushedOre:0, ic2.itemPurifiedCrushedIronOre
IC2:itemPurifiedCrushedOre:1, ic2.itemPurifiedCrushedCopperOre
IC2:itemPurifiedCrushedOre:2, ic2.itemPurifiedCrushedGoldOre
IC2:itemPurifiedCrushedOre:3, ic2.itemPurifiedCrushedTinOre
IC2:itemPurifiedCrushedOre:4, ic2.itemPurifiedCrushedUranOre
IC2:itemPurifiedCrushedOre:5, ic2.itemPurifiedCrushedSilverOre
IC2:itemPurifiedCrushedOre:6, ic2.itemPurifiedCrushedLeadOre
IC2:itemPlates:0, ic2.itemPlateCopper
IC2:itemPlates:1, ic2.itemPlateTin
IC2:itemPlates:2, ic2.itemPlateBronze
IC2:itemPlates:3, ic2.itemPlateGold
IC2:itemPlates:4, ic2.itemPlateIron
IC2:itemPlates:5, ic2.itemPlateAdvIron
IC2:itemPlates:6, ic2.itemPlateLead
IC2:itemPlates:7, ic2.itemPlateObsidian
IC2:itemPlates:8, ic2.itemPlateLapi
IC2:itemDensePlates:0, ic2.itemDensePlateCopper
IC2:itemDensePlates:1, ic2.itemDensePlateTin
IC2:itemDensePlates:2, ic2.itemDensePlateBronze
IC2:itemDensePlates:3, ic2.itemDensePlateGold
IC2:itemDensePlates:4, ic2.itemDensePlateIron
IC2:itemDensePlates:5, ic2.itemDensePlateAdvIron
IC2:itemDensePlates:6, ic2.itemDensePlateLead
IC2:itemDensePlates:7, ic2.itemDensePlateObsidian
IC2:itemDensePlates:8, ic2.itemDensePlateLapi
IC2:itemTurningBlanks:349525, ic2.itemTurningBlanksIRON
IC2:itemTurningBlanksWood:209715, ic2.itemTurningBlanksWOOD
IC2:itemDustSmall:0, ic2.itemDustIronSmall
IC2:itemDustSmall:1, ic2.itemDustCopperSmall
IC2:itemDustSmall:2, ic2.itemDustGoldSmall
IC2:itemDustSmall:3, ic2.itemDustTinSmall
IC2:itemDustSmall:4, ic2.itemDustSilverSmall
IC2:itemDustSmall:5, ic2.itemDustLeadSmall
IC2:itemDustSmall:6, ic2.itemDustSulfurSmall
IC2:itemDustSmall:7, ic2.itemDustLithiumSmall
IC2:itemDustSmall:8, ic2.itemDustBronzeSmall
IC2:itemDustSmall:9, ic2.itemDustLapiSmall
IC2:itemDustSmall:10, ic2.itemDustObsidianSmall
IC2:itemDust:0, ic2.itemDustBronze
IC2:itemDust:1, ic2.itemDustClay
IC2:itemDust:2, ic2.itemDustCoal
IC2:itemDust:3, ic2.itemDustCopper
IC2:itemDust:4, ic2.itemDustGold
IC2:itemDust:5, ic2.itemDustIron
IC2:itemDust:6, ic2.itemDustSilver
IC2:itemDust:7, ic2.itemDustTin
IC2:itemDust:8, ic2.itemFuelCoalDust
IC2:itemDust:9, ic2.itemDustStone
IC2:itemDust:10, ic2.itemDustLead
IC2:itemDust:11, ic2.itemDustObsidian
IC2:itemDust:12, ic2.itemDustLapi
IC2:itemDust:13, ic2.itemDustSulfur
IC2:itemDust:14, ic2.itemDustLithium
IC2:itemDust2:0, ic2.itemDustsilicondioxide
IC2:itemDust2:1, ic2.itemDustdiamond
IC2:itemDust2:2, ic2.itemDustenergium
IC2:itemDust2:3, ic2.itemAshes
IC2:itemIngot:0, ic2.itemIngotCopper
IC2:itemIngot:1, ic2.itemIngotTin
IC2:itemIngot:2, ic2.itemIngotBronze
IC2:itemIngot:3, ic2.itemIngotAdvIron
IC2:itemIngot:4, ic2.itemIngotAlloy
IC2:itemIngot:5, ic2.itemIngotLead
IC2:itemIngot:6, ic2.itemIngotSilver
IC2:reactorLithiumCell, ic2.reactorLithiumCell.name
IC2:itemTritiumCell, ic2.itemTritiumCell.name
IC2:itemUran, ic2.itemUran.name
IC2:itemMOX, ic2.itemMOX.name
IC2:itemPlutonium, ic2.itemPlutonium.name
IC2:itemPlutoniumSmall, ic2.itemPlutoniumSmall.name
IC2:itemUran235, ic2.itemUran235.name
IC2:itemUran235small, ic2.itemUran235small.name
IC2:itemUran238, ic2.itemUran238.name
IC2:itemFuelRod, ic2.itemFuelRod.name
IC2:itemRTGPellet, ic2.itemRTGPellet.name
IC2:itemPartCircuit, ic2.itemPartCircuit.name
IC2:itemPartCircuitAdv, ic2.itemPartCircuitAdv.name
IC2:itemPartAlloy, ic2.itemPartAlloy.name
IC2:itemPartCarbonFibre, ic2.itemPartCarbonFibre.name
IC2:itemPartCarbonMesh, ic2.itemPartCarbonMesh.name
IC2:itemPartCarbonPlate, ic2.itemPartCarbonPlate.name
IC2:itemOreIridium, ic2.itemOreIridium.name
IC2:itemPartIridium, ic2.itemPartIridium.name
IC2:itemTreetap, ic2.itemTreetap.name
IC2:itemToolBronzePickaxe, ic2.itemToolBronzePickaxe.name
IC2:itemToolBronzeAxe, ic2.itemToolBronzeAxe.name
IC2:itemToolBronzeSword, ic2.itemToolBronzeSword.name
IC2:itemToolBronzeSpade, ic2.itemToolBronzeSpade.name
IC2:itemToolBronzeHoe, ic2.itemToolBronzeHoe.name
IC2:itemToolWrench, ic2.itemToolWrench.name
IC2:itemToolCutter, ic2.itemToolCutter.name
IC2:itemFoamSprayer, ic2.itemFoamSprayer.name
IC2:itemToolbox, ic2.itemToolbox.name
IC2:itemContainmentbox, ic2.itemContainmentbox.name
IC2:itemToolForgeHammer, ic2.itemToolForgeHammer.name
IC2:itemLathingTool, ic2.itemLathingTool.name
IC2:itemcrystalmemory, ic2.itemcrystalmemory.name
IC2:itemToolDrill, ic2.itemToolDrill.name
IC2:itemToolDDrill, ic2.itemToolDDrill.name
IC2:itemToolIridiumDrill, ic2.itemToolIridiumDrill.name
IC2:itemToolChainsaw, ic2.itemToolChainsaw.name
IC2:itemToolWrenchElectric, ic2.itemToolWrenchElectric.name
IC2:itemTreetapElectric, ic2.itemTreetapElectric.name
IC2:itemToolMiningLaser, ic2.itemToolMiningLaser.name
IC2:itemToolMEter, ic2.itemToolMEter.name
IC2:itemScanner, ic2.itemScanner.name
IC2:itemScannerAdv, ic2.itemScannerAdv.name
IC2:obscurator, ic2.obscurator.name
IC2:itemFreq, ic2.itemFreq.name
IC2:itemNanoSaber, ic2.itemNanoSaber.name
IC2:plasmaLauncher, ic2.plasmaLauncher.name
IC2:windmeter, ic2.windmeter.name
IC2:itemArmorHazmatHelmet, ic2.itemArmorHazmatHelmet.name
IC2:itemArmorHazmatChestplate, ic2.itemArmorHazmatChestplate.name
IC2:itemArmorHazmatLeggings, ic2.itemArmorHazmatLeggings.name
IC2:itemArmorRubBoots, ic2.itemArmorRubBoots.name
IC2:itemArmorBronzeHelmet, ic2.itemArmorBronzeHelmet.name
IC2:itemArmorBronzeChestplate, ic2.itemArmorBronzeChestplate.name
IC2:itemArmorBronzeLegs, ic2.itemArmorBronzeLegs.name
IC2:itemArmorBronzeBoots, ic2.itemArmorBronzeBoots.name
IC2:itemArmorAlloyChestplate, ic2.itemArmorAlloyChestplate.name
IC2:itemArmorNanoHelmet, ic2.itemArmorNanoHelmet.name
IC2:itemArmorNanoChestplate, ic2.itemArmorNanoChestplate.name
IC2:itemArmorNanoLegs, ic2.itemArmorNanoLegs.name
IC2:itemArmorNanoBoots, ic2.itemArmorNanoBoots.name
IC2:itemArmorQuantumHelmet, ic2.itemArmorQuantumHelmet.name
IC2:itemArmorQuantumChestplate, ic2.itemArmorQuantumChestplate.name
IC2:itemArmorQuantumLegs, ic2.itemArmorQuantumLegs.name
IC2:itemArmorQuantumBoots, ic2.itemArmorQuantumBoots.name
IC2:itemArmorJetpack, ic2.itemArmorJetpack.name
IC2:itemArmorJetpackElectric, ic2.itemArmorJetpackElectric.name
IC2:itemArmorBatpack, ic2.itemArmorBatpack.name
IC2:itemArmorAdvBatpack, ic2.itemArmorAdvBatpack.name
IC2:itemArmorEnergypack, ic2.itemArmorEnergypack.name
IC2:itemArmorCFPack, ic2.itemArmorCFPack.name
IC2:itemSolarHelmet, ic2.itemSolarHelmet.name
IC2:itemStaticBoots, ic2.itemStaticBoots.name
IC2:itemNightvisionGoggles, ic2.itemNightvisionGoggles.name
IC2:itemBatREDischarged, ic2.itemBatREDischarged.name
IC2:itemBatRE, ic2.itemBatRE.name
IC2:itemAdvBat, ic2.itemAdvBat.name
IC2:itemBatCrystal, ic2.itemBatCrystal.name
IC2:itemBatLamaCrystal, ic2.itemBatLamaCrystal.name
IC2:itemBatSU, ic2.itemBatSU.name
IC2:itemBatChargeRE, ic2.itemBatChargeRE.name
IC2:itemBatChargeAdv, ic2.itemBatChargeAdv.name
IC2:itemBatChargeCrystal, ic2.itemBatChargeCrystal.name
IC2:itemBatChargeLamaCrystal, ic2.itemBatChargeLamaCrystal.name
IC2:itemCable:0, ic2.itemCable
IC2:itemCable:1, ic2.itemCableO
IC2:itemCable:2, ic2.itemGoldCable
IC2:itemCable:3, ic2.itemGoldCableI
IC2:itemCable:5, ic2.itemIronCable
IC2:itemCable:6, ic2.itemIronCableI
IC2:itemCable:9, ic2.itemGlassCable
IC2:itemCable:10, ic2.itemTinCable
IC2:itemCable:11, ic2.itemDetectorCable
IC2:itemCable:12, ic2.itemSplitterCable
IC2:itemCable:13, ic2.itemTinCableI
IC2:itemCellEmpty:0, ic2.itemCellEmpty
IC2:itemCellEmpty:1, ic2.itemCellWater
IC2:itemCellEmpty:2, ic2.itemCellLava
IC2:itemCellEmpty:3, ic2.itemCellUuMatter
IC2:itemCellEmpty:4, ic2.itemCellCF
IC2:itemCellEmpty:5, ic2.itemCellAir
IC2:itemCellEmpty:6, ic2.itemCellBiomass
IC2:itemCellEmpty:7, ic2.itemCellBiogas
IC2:itemCellEmpty:8, ic2.itemCellWaterElectro
IC2:itemCellEmpty:9, ic2.itemCellCoolant
IC2:itemCellEmpty:10, ic2.itemCellHotCoolant
IC2:itemCellEmpty:11, ic2.itemCellPahoehoelava
IC2:itemCellEmpty:12, ic2.itemCellDistilledWater
